ScientificName,OrganismCode,IngratedDS,CommonName,NonNative,Phylum,Class,Order,Family,Genus,Species,Active
Eucyclogobius newberryi,TGO,Eucyclogobius newberryi,tidewater goby,no,Chordata,Actinopterygii,Perciformes,Gobiidae,Eucyclogobius,newberryi,0
Platyrhinoidis triseriata,THORNB,Platyrhinoidis triseriata,Thornback Ray,,Chordata,Chondrichthyes,Rajiformes,Platyrhinidae,Platyrhinoidis,triseriata,1
Hysterocarpus traskii,TP,Hysterocarpus traskii,tule perch,no,Chordata,Actinopterygii,Perciformes,Embiotocidae,Hysterocarpus,traskii,1
Oligocottus maculosus,TPS,Oligocottus maculosus,tidepool sculpin,No,Chordata,Osteichthyes,Scorpaeniformes,Cottidae,Oligocottus,maculosus,1
Atherinops affinis,TSM,Atherinops affinis,topsmelt,no,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,Atherinops,affinis,1
Gasterosteus aculeatus,TSS,Gasterosteus aculeatus,threespine stickleback,no,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,aculeatus,1
,UNID,no ADD,unid fish,,Chordata,NA,NA,NA,NA,NA,1
Lepomis gulosus,W,Lepomis gulosus,warmouth,yes,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,gulosus,1
Hypomesus nipponensis,WAG,Hypomesus nipponensis,wakasagi,yes,Chordata,Actinopterygii,Salmoniformes,Osmeridae,Hypomesus,nipponensis,1
Allosmerus elongatus,WBS,Allosmerus elongatus,whitebait smelt,no,Chordata,Actinopterygii,Salmoniformes,Osmeridae,Allosmerus,elongatus,1
Genyonemus lineatus,WCK,Genyonemus lineatus,white croaker,no,Chordata,Actinopterygii,Perciformes,Sciaenidae,Genyonemus,lineatus,1
Anarrhichthys ocellatus,WEE,Anarrhichthys ocellatus,wolf-eel,no,Chordata,Actinopterygii,Percifomes,Anarhichadidae,Anarrhichthys,ocellatus,0
Morone chrysops,WHB,Morone chrysops,white bass,no,Chordata,Actinopterygii,Perciformes,Moronidae,Morone,chrysops,0
Ameiurus catus,WHC,Ameiurus catus,white catfish,yes,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,catus,1
Pomoxis annularis,WHS,Pomoxis annularis,white crappie,yes,Chordata,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,annularis,1
Hyperprosopon argenteum,WSP,Hyperprosopon argenteum,walleye surfperch,no,Chordata,Actinopterygii,Perciformes,Embiotocidae,Hyperprosopon,argenteum,1
Acipenser transmontanus,WST,Acipenser transmontanus,white sturgeon,no,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,transmontanus,1
Phanerodon furcatus,WTSP,Phanerodon furcatus,white seaperch,no,Chordata,Actinopterygii,Percifomes,Embiotocidae,Phanerodon,furcatus,1
Ameiurus natalis,YEB,Ameiurus natalis,yellow bullhead,yes,Chordata,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,natalis,1
Perca flavescens,YEP,Perca flavescens,yellow perch,yes,Chordata,Actinopterygii,Perciformes,Percidae,Perca,flavescens,0
Acanthogobius flavimanus,YFG,Acanthogobius flavimanus,yellowfin goby,yes,Chordata,Actinopterygii,Perciformes,Gobiidae,Acanthogobius,flavimanus,1
