geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
21-27-LSJ01	38.01746	38.01746	-121.78203	-121.78203
21-27-LSR01	38.08309	38.08309	-121.74326	-121.74326
21-27-LSR02	38.06693	38.06693	-121.83304	-121.83304
21-27-LSSC01	38.21315	38.21315	-121.66801	-121.66801
21-27-LSSC02	38.18017	38.18017	-121.66647	-121.66647
21-27-MIW01	37.97328	37.97328	-121.51659	-121.51659
21-27-MIW02	37.99253	37.99253	-121.52025	-121.52025
21-27-OR01	37.9196	37.9196	-121.56387	-121.56387
21-27-PP01	38.04395	38.04395	-121.53138	-121.53138
21-27-PP02	38.0651	38.0651	-121.56171	-121.56171
21-27-RS01	37.97613	37.97613	-121.60886	-121.60886
21-27-RV01	38.11622	38.11622	-121.70657	-121.70657
21-27-RV02	38.11323	38.11323	-121.70218	-121.70218
21-27-RV03	38.12414	38.12414	-121.69557	-121.69557
21-27-RV04	38.10956	38.10956	-121.70596	-121.70596
21-27-SBW01	38.09169	38.09169	-122.07163	-122.07163
21-27-SJT01	38.08487	38.08487	-121.67844	-121.67844
21-27-SJT02	38.05427	38.05427	-121.68667	-121.68667
21-27-SJT03	38.06868	38.06868	-121.67633	-121.67633
21-27-SM01	38.16811	38.16811	-121.94544	-121.94544
21-27-USSC01	38.55543	38.55543	-121.57634	-121.57634
21-28-CQS01	38.03744	38.03744	-122.16468	-122.16468
21-28-CS01	38.44603	38.44603	-121.60082	-121.60082
21-28-CS02	38.25526	38.25526	-121.68862	-121.68862
21-28-CS03	38.24516	38.24516	-121.6882	-121.6882
21-28-FT01	38.04818	38.04818	-121.62143	-121.62143
21-28-FT02	38.03549	38.03549	-121.61266	-121.61266
21-28-FT03	38.04552	38.04552	-121.60782	-121.60782
21-28-GB01	38.10488	38.10488	-122.03363	-122.03363
21-28-HB01	38.05312	38.05312	-121.93634	-121.93634
21-28-LNR01	38.15251	38.15251	-122.29481	-122.29481
21-28-LSJ01	38.02995	38.02995	-121.72646	-121.72646
21-28-LSJ02	38.01685	38.01685	-121.78462	-121.78462
21-28-LSJ03	38.0403	38.0403	-121.72314	-121.72314
21-28-LSR01	38.07653	38.07653	-121.76965	-121.76965
21-28-LSR02	38.06196	38.06196	-121.81437	-121.81437
21-28-LSSC01	38.31695	38.31695	-121.65101	-121.65101
21-28-MIW01	38.00426	38.00426	-121.5124	-121.5124
21-28-OR01	37.96116	37.96116	-121.56757	-121.56757
21-28-PP01	38.06793	38.06793	-121.53272	-121.53272
21-28-PP02	38.05845	38.05845	-121.54895	-121.54895
21-28-RV01	38.11721	38.11721	-121.69728	-121.69728
21-28-RV02	38.10639	38.10639	-121.71508	-121.71508
21-28-RV03	38.12467	38.12467	-121.69159	-121.69159
21-28-RV04	38.0943	38.0943	-121.73443	-121.73443
21-28-SBM01	38.07416	38.07416	-122.0155	-122.0155
21-28-SBM02	38.09656	38.09656	-122.05637	-122.05637
21-28-SBW01	38.0822	38.0822	-122.09066	-122.09066
21-28-SBW02	38.08272	38.08272	-122.07969	-122.07969
21-28-SBW03	38.04844	38.04844	-122.11637	-122.11637
21-28-SJT01	38.05924	38.05924	-121.68616	-121.68616
21-28-SM01	38.11614	38.11614	-122.06052	-122.06052
21-28-SM02	38.17736	38.17736	-121.9629	-121.9629
21-28-SPE01	38.04389	38.04389	-122.32151	-122.32151
21-28-SPE02	38.07425	38.07425	-122.32428	-122.32428
21-28-USSC01	38.56137	38.56137	-121.55805	-121.55805
21-28-USSC02	38.50092	38.50092	-121.58417	-121.58417
21-28-VC01	37.88789	37.88789	-121.49259	-121.49259
21-29-CF01	38.04564	38.04564	-121.8812	-121.8812
21-29-CS01	38.24244	38.24244	-121.68335	-121.68335
21-29-CS02	38.25182	38.25182	-121.68724	-121.68724
21-29-CS03	38.30964	38.30964	-121.6926	-121.6926
21-29-FT01	38.02679	38.02679	-121.60673	-121.60673
21-29-GB01	38.10535	38.10535	-122.03243	-122.03243
21-29-GLW01	37.82018	37.82018	-121.4832	-121.4832
21-29-HC01	38.00752	38.00752	-121.56291	-121.56291
21-29-HC02	38.02505	38.02505	-121.58323	-121.58323
21-29-LSJ01	38.02309	38.02309	-121.80415	-121.80415
21-29-LSJ02	38.02241	38.02241	-121.75565	-121.75565
21-29-LSJ03	38.01668	38.01668	-121.77716	-121.77716
21-29-LSR01	38.03106	38.03106	-121.7835	-121.7835
21-29-LSR02	38.06706	38.06706	-121.83642	-121.83642
21-29-LSR03	38.07727	38.07727	-121.76615	-121.76615
21-29-LSSC01	38.2037	38.2037	-121.65561	-121.65561
21-29-LSSC02	38.39475	38.39475	-121.61966	-121.61966
21-29-LSSC03	38.2711	38.2711	-121.66272	-121.66272
21-29-MIW01	37.98595	37.98595	-121.51995	-121.51995
21-29-PP01	38.10068	38.10068	-121.58684	-121.58684
21-29-RV01	38.13321	38.13321	-121.69008	-121.69008
21-29-SBM01	38.06121	38.06121	-121.99906	-121.99906
21-29-SBM02	38.06047	38.06047	-121.99342	-121.99342
21-29-SBM03	38.09175	38.09175	-122.05868	-122.05868
21-29-SBM04	38.0672	38.0672	-122.02806	-122.02806
21-29-SBW01	38.08886	38.08886	-122.07843	-122.07843
21-29-SJT01	38.09731	38.09731	-121.66543	-121.66543
21-29-SM01	38.12063	38.12063	-122.07207	-122.07207
21-29-SM02	38.15927	38.15927	-121.92796	-121.92796
